ID,Title,X,Y
Q828547,World Trade Center,-11.617215156555176,-100.6558837890625
Q5087476,Chat Room,91.34075164794922,39.90996551513672
Q1962468,From the Hip,4.615121364593506,-4.933124542236328
Q2061368,Islands in the Stream,28.61524200439453,10.127127647399902
Q2110876,The Son of No One,-78.05476379394531,-58.8479118347168
Q6651056,Little Mother,-36.757972717285156,-67.43074035644531
Q6411362,King Corn,89.6509017944336,-37.78569030761719
Q4746229,Amigo,-35.7642822265625,-12.929883003234863
Q20814831,The Phantom Empire,-47.848060607910156,81.66302490234375
Q309014,Shooter,-29.320613861083984,-97.72136688232422
Q108946,A Few Good Men,0.5246561169624329,-46.974510192871094
Q3638578,Berkeley,62.26692581176758,57.21358108520508
Q17113340,We'll Never Have Paris,16.71320915222168,-32.312679290771484
Q1746750,Envy,11.613288879394531,-65.01663970947266
Q2061346,"Waiting for ""Superman""",36.96824645996094,91.77583312988281
Q20814835,The Runaround,84.63380432128906,49.60573196411133
Q2061359,Daisy Miller,-23.695098876953125,72.04946899414062
Q1193385,Fireproof,-96.0623550415039,4.078694820404053
Q17377030,Evidence (2013),-3.321162462234497,-1.2020037174224854
Q2565223,The Boys in the Band,-11.164041519165039,42.86668014526367
Q6690641,Love Hurts (1990),-32.03004837036133,18.44405174255371
Q7317923,Revenge of the Bogey Man,-22.2603816986084,48.53268051147461
Q2276038,Telling Lies in America,8.722869873046875,50.54507064819336
Q1962426,A Low Down Dirty Shame,-68.19918060302734,52.14634704589844
Q1756129,Beretta's Island,66.07722473144531,-4.668464183807373
Q770661,Land of the Blind,-32.357845306396484,-23.756324768066406
Q7317911,Revenge Quest,2.5596022605895996,2.724817991256714
Q16980548,Fed Up,-68.2164306640625,52.14780807495117
Q309003,Conan the Barbarian (1982),-56.18722152709961,-45.68697738647461
Q7763983,The Shortcut,-15.793340682983398,65.89459991455078
Q28999515,Mortal Engines,-65.16435241699219,2.0630786418914795
Q18162121,Animosity,1.0258995294570923,-9.21432876586914
Q731082,Breaking Away,-44.657142639160156,62.80107116699219
Q1962417,Nightflyers,-10.328706741333008,-87.38497161865234
Q1756120,The Gathering,-86.27408599853516,-9.229880332946777
Q373652,Who Is Cletis Tout?,40.677433013916016,-41.789119720458984
Q275180,Australia,52.460914611816406,70.4795913696289
Q637884,Baby's Day Out,89.3828353881836,20.50227928161621
Q3541085,Trucker,-13.679343223571777,-99.52470397949219
Q662838,Cookie's Fortune,-45.306129455566406,62.65385055541992
Q4301270,Killpoint,77.08584594726562,16.195213317871094
Q63009,The Prince of Tides,20.5322322845459,-61.885093688964844
Q290730,Getting Even with Dad,15.043375968933105,27.569494247436523
Q14522896,Stonehearst Asylum,16.560773849487305,-89.63156127929688
Q19730988,The Free State of Jones,54.41936111450195,14.183125495910645
Q7797372,Three Can Play That Game,-39.66521072387695,-15.879803657531738
Q14786561,Fury,31.743574142456055,-11.223384857177734
Q1168375,Class Action,-0.19103442132472992,14.957364082336426
Q4940535,Bombay Beach,-41.40948486328125,-65.34062957763672
Q432526,The Sugarland Express,-78.28731536865234,-58.40336990356445
Q6929846,Mrs. Palfrey at the Claremont,-35.7283935546875,-40.8663215637207
Q1168399,The Long Kiss Goodnight,-5.1017680168151855,96.8770751953125
Q1168398,The Phantom of the Open Hearth,-8.838284492492676,-6.772887706756592
Q7449769,Semper Fi: Always Faithful,49.56298828125,18.654495239257812
Q1193350,Devil's Pond,-75.4739990234375,-63.821189880371094
Q20814813,The Great American Snuff Film,-60.87350845336914,-7.442718029022217
Q309086,License to Kill,38.032981872558594,-30.02149200439453
Q275120,Captain America: The First Avenger,38.37481689453125,15.195873260498047
Q16642398,Hotel Noir,85.76889038085938,47.8463020324707
Q19730943,Helicopter Mom,16.96031951904297,-25.19585418701172
Q647262,Neon City,39.319129943847656,-10.777912139892578
Q1962492,The Terminal Man,23.376277923583984,-17.253398895263672
Q1193347,Sleeping with the Enemy,-39.035301208496094,-34.88772964477539
Q63026,The English Patient,34.884281158447266,17.271211624145508
Q15989191,Into the Storm,-5.068793296813965,-10.29151725769043
Q20814808,The Eugenist,-66.91584777832031,37.4195442199707
Q1986452,Faces of Death II,-7.853222370147705,32.12611389160156
Q27914732,Brooklyn Tide,2.693182945251465,-1.8186964988708496
Q432582,Water for Elephants,-82.76471710205078,43.17893981933594
Q1854693,Get Over It,73.01608276367188,-12.856795310974121
Q7376282,Ruby Bridges,36.97080612182617,-17.489364624023438
Q53719,Looper,-69.2892074584961,-17.634750366210938
Q3795410,Bombay Talkie,9.09014892578125,-77.08946990966797
Q3986195,The Canyon,15.590165138244629,-103.29255676269531
Q961403,Interiors,33.28812789916992,-49.72150802612305
Q53703,Drop Dead Fred,-51.90880584716797,48.394935607910156
Q28776,Basic,32.63401794433594,-11.689457893371582
Q9077312,Silent Madness,13.591856956481934,19.882579803466797
Q1144479,Youth in Revolt,66.76326751708984,-76.45134735107422
Q1168425,The Confession,-54.38278579711914,-58.92258834838867
Q2301603,Never Cry Wolf,33.966026306152344,7.715657711029053
Q7087167,Olive Juice,-61.15998840332031,-6.832221508026123
Q4374144,Fast Getaway II,11.462926864624023,-27.13738441467285
Q1168460,The Weight of Water,-80.36351776123047,-21.76604652404785
Q5978988,I Spit on Your Corpse,44.941890716552734,43.62285232543945
Q3868863,My Little Pony: The Princess Promenade,-22.468259811401367,48.595863342285156
Q623115,Beautiful Joe,14.255276679992676,-49.56983184814453
Q300624,A Year and a Half in the Life of Metallica,69.93243408203125,-63.519412994384766
Q1217852,Losing Isaiah,-52.392059326171875,80.16885375976562
